ID_IBGE;ID_SNIS;MUNICIP1;MUNICIP2;UF;REGIAO;CENTRX;CENTRY;RENDAPITA;GINI;PIB;IDH;AG001;AG020;AG022;GE012;CONSUMO1;CONSUMO2;REDE;PROPREDE
5215702;521570;PALMEIRAS DE GOIS;Palmeiras de Gois;GO;5;-49,94591;-16,80900329; 610,80;0,4464;1,519084e+05;0,760;   14416;   528,21;   4436;   23338;2,263304e+01; 36,64053800;   4877;0,630918499
5215801;521580;PALMELO;Palmelo;GO;5;-48,39682;-17,30649495; 755,57;0,5781;8,582945e+03;0,787;    2216;    84,02;    779;    2335;3,598287e+01; 37,91516200;    716;0,913265306
5215900;521590;PALMINPOLIS;Palminpolis;GO;5;-50,19513;-16,81982278; 676,14;0,5292;2,191789e+04;0,753;    2699;   106,18;   1086;    3557;2,985100e+01; 39,34049600;    951;0,745882353
5216007;521600;PANAM;Panam;;5;-49,40323;-18,20403079; 566,49;0,4415;NA;NA;NA;NA;NA;NA;NA;NA;    721;0,735714286
5216304;521630;PARANAIGUARA;Paranaiguara;GO;5;-50,62386;-18,80846707; 619,08;0,4393;4,533267e+04;0,751;    8388;NA;NA;    9100;NA;NA;   2804;0,914546641
5216403;521640;PARANA;Parana;GO;5;-50,63785;-17,04706627; 561,84;0,4762;1,960161e+05;0,742;    7987;   295,17;   2840;   10863;2,717205e+01; 36,95630400;   2611;0,743662774
5216452;521645;PEROLNDIA;Perolndia;GO;5;-52,22477;-17,49426409; 580,49;0,5010;1,043012e+05;0,730;    1859;    64,17;    607;    2950;2,175254e+01; 34,51855800;    538;0,579117330
5216809;521680;PETROLINA DE GOIS;Petrolina de Gois;GO;5;-49,31644;-16,11193466; 527,18;0,4197;4,287914e+04;0,733;    6683;   252,48;   2181;   10283;2,455315e+01; 37,77944000;   2059;0,627552575
5216908;521690;PILAR DE GOIS;Pilar de Gois;GO;5;-49,52170;-14,58721023; 466,42;0,5407;1,890578e+04;0,700;    1192;    33,86;    386;    2773;1,221060e+01; 28,40604000;    411;0,456159822
5217104;521710;PIRACANJUBA;Piracanjuba;GO;5;-48,99264;-17,32898997; 693,62;0,4801;2,004611e+05;0,755;   17551;   678,79;   6085;   24026;2,825231e+01; 38,67528900;   5602;0,662096679
