"id","idade","ano_de_ingresso","ca","cr","turno","renda","municipio_de_residencia"
146,24,2016,2.6,1,"Matutino","De R$ 7.000,01 a R$ 10.000,00","São Paulo - SP"
147,23,2015,NA,NA,"Noturno","De R$ 1.500,01 a R$ 2.250,00","Santo André - SP"
148,37,2012,3.17,3.15,"Noturno","Prefiro não responder","São Paulo - SP"
149,21,2019,1.33,1.33,"Noturno","De R$ 750,01 a R$ 1.500,00","Santo André - SP"
150,24,2015,2.22,2.15,"Noturno","De R$ 1.500,01 a R$ 2.250,00","Guarulhos - SP"
151,21,2016,2.06,2.06,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Bernardo do Campo - SP"
152,19,2019,NA,NA,"Matutino","Prefiro não responder","Santo André - SP"
153,22,2018,2.12,2.12,"Matutino","Até R$ 750,00","Diadema - SP"
154,21,2018,1.65,1.65,"Matutino","De R$ 4.000,01 a R$ 5.000,00","São Bernardo do Campo - SP"
155,21,2018,3.24,3.24,"Vespertino","De R$ 750,01 a R$ 1.500,00","São Bernardo do Campo - SP"
156,20,2017,3.14,3.14,"Noturno","De R$ 4.000,01 a R$ 5.000,00","Santo André - SP"
157,24,2016,3.1,3.1,"Matutino","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
158,22,2015,2.6,2.5,"Noturno","De R$ 3.000,01 a R$ 4.000,00","Mauá - SP"
159,21,2017,3.2,3.2,"Matutino","De R$ 4.000,01 a R$ 5.000,00","São Paulo - SP"
160,21,2016,2.97,2.97,"Matutino","De R$ 4.000,01 a R$ 5.000,00","Santo André - SP"
161,21,2017,3.1,3.1,"Noturno","De R$ 1.500,01 a R$ 2.250,00","Outro município do Estado de São Paulo"
162,23,2014,2.9,2.7,"Noturno","De R$ 750,01 a R$ 1.500,00","Santo André - SP"
163,33,2016,2.5,2.4,"Matutino","De R$ 750,01 a R$ 1.500,00","São Bernardo do Campo - SP"
164,19,2019,NA,NA,"Noturno","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
165,21,2016,NA,NA,"Matutino","De R$ 3.000,01 a R$ 4.000,00","Santo André - SP"
166,24,2018,NA,NA,"Noturno","De R$ 4.000,01 a R$ 5.000,00","São Paulo - SP"
167,21,2016,2.84,2.84,"Noturno","Até R$ 750,00","São Bernardo do Campo - SP"
168,20,2017,NA,NA,"Noturno","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
169,20,2017,2.5,2.5,"Matutino","De R$ 750,01 a R$ 1.500,00","São Bernardo do Campo - SP"
170,43,2016,NA,NA,"Matutino","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
171,38,2013,2,2,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
172,21,2017,2.3,2,"Matutino","De R$ 4.000,01 a R$ 5.000,00","Mauá - SP"
173,22,2017,2.39,2.26,"Matutino","De R$ 2.250,01 a R$ 3.000,00","Santo André - SP"
174,22,2016,NA,NA,"Noturno","De R$ 1.500,01 a R$ 2.250,00","Santo André - SP"
