"id","idade","ano_de_ingresso","ca","cr","turno","renda","municipio_de_residencia"
1,25,2013,2.7,2.6,"Matutino","De R$ 5.000,01 a R$ 7.000,00","Ribeirão Pires - SP"
2,22,2015,2.9,2.86,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Bernardo do Campo - SP"
3,25,2013,2.7,2.5,"Matutino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
4,23,2015,3.01,2.91,"Noturno","De R$ 3.000,01 a R$ 4.000,00","Mauá - SP"
5,24,2013,2,1.6,"Noturno","De R$ 4.000,01 a R$ 5.000,00","São Paulo - SP"
6,31,2013,3.2,2.72,"Matutino","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
7,32,2010,NA,NA,"Matutino","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
8,29,2011,2,2,"Prefiro não responder","Até R$ 750,00","Guarulhos - SP"
9,NA,2013,3,2.8,"Noturno","De R$ 5.000,01 a R$ 7.000,00","São Bernardo do Campo - SP"
10,23,2014,2.7,2.04,"Noturno","De R$ 4.000,01 a R$ 5.000,00","São Bernardo do Campo - SP"
11,26,2012,3.03,2.84,"Noturno","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
12,28,2009,2.6,2.4,"Noturno","De R$ 4.000,01 a R$ 5.000,00","Santo André - SP"
13,25,2012,3.25,3.15,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Bernardo do Campo - SP"
14,27,2015,2.59,2.22,"Noturno","De R$ 5.000,01 a R$ 7.000,00","São Bernardo do Campo - SP"
15,25,2015,3.4,3.4,"Vespertino","De R$ 3.000,01 a R$ 4.000,00","Outro município do Estado de São Paulo"
16,24,2013,3.21,3.21,"Prefiro não responder","De R$ 1.500,01 a R$ 2.250,00","São Bernardo do Campo - SP"
17,26,2015,2.5,2,"Noturno","Até R$ 750,00","Santo André - SP"
18,24,2013,3.1,3,"Noturno","De R$ 5.000,01 a R$ 7.000,00","São Paulo - SP"
19,31,2014,3.16,3.16,"Noturno","De R$ 4.000,01 a R$ 5.000,00","São Paulo - SP"
20,22,2015,3.1,3.1,"Matutino","De R$ 4.000,01 a R$ 5.000,00","Santo André - SP"
21,29,2013,2.91,2.71,"Noturno","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
22,26,2017,2.91,2.85,"Noturno","De R$ 750,01 a R$ 1.500,00","Santo André - SP"
23,19,2018,NA,NA,"Matutino","Até R$ 750,00","Santo André - SP"
24,27,2010,3.39,3.39,"Matutino","Acima de R$ 10.000,00","São Paulo - SP"
25,27,2010,3.4,3.4,"Noturno","De R$ 7.000,01 a R$ 10.000,00","São Bernardo do Campo - SP"
26,24,2013,2,2,"Noturno","De R$ 7.000,01 a R$ 10.000,00","Santo André - SP"
27,23,2014,3.1,3,"Noturno","De R$ 1.500,01 a R$ 2.250,00","Santo André - SP"
28,25,2014,NA,NA,"Noturno","De R$ 3.000,01 a R$ 4.000,00","Ribeirão Pires - SP"
29,25,2013,2.8,2.7,"Noturno","De R$ 2.250,01 a R$ 3.000,00","Santo André - SP"
30,23,2014,2.98,2.72,"Noturno","De R$ 2.250,01 a R$ 3.000,00","Ribeirão Pires - SP"
31,30,2011,2.54,2.53,"Noturno","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
32,24,2015,3.5,3.5,"Matutino","De R$ 5.000,01 a R$ 7.000,00","São Paulo - SP"
33,30,2010,NA,NA,"Noturno","Até R$ 750,00","São Bernardo do Campo - SP"
34,NA,2012,NA,NA,"Noturno","De R$ 4.000,01 a R$ 5.000,00","São Bernardo do Campo - SP"
35,24,2014,3.5,3.4,"Noturno","Acima de R$ 10.000,00","São Paulo - SP"
36,23,2015,4,3.6,"Noturno","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
37,29,2012,2.43,1.93,"Noturno","Até R$ 750,00","São Paulo - SP"
