ID_IBGE;UF;REGIAO;DOMICIL;REDE
3520509;SP;3;  61293;  57721
2509057;NA;2;   2040;   1958
3137601;MG;3;  15734;  14884
2112456;NA;2;   5205;   1504
5002704;MS;5; 249800; 226070
4217808;SC;4;   5515;   2752
5103353;MT;5;   7286;   2241
1501006;NA;1;   3436;   1014
1721000;TO;1;  68679;  65604
2414753;RN;2;    931;    871
4210407;SC;4;   1989;   1022
2210375;PI;2;    743;    708
1507706;PA;1;   4846;   1394
3201159;ES;3;   3492;   1031
4314001;RS;4;   2146;   1808
4203253;SC;4;    909;    298
1101104;RO;1;   2533;    754
4205555;NA;4;    734;    234
3505708;SP;3;  71790;  71260
1100056;RO;1;   5348;   1816
4204608;SC;4;  61561;  58907
5103437;MT;5;   1513;    478
2102200;MA;2;   6049;   1816
2109205;MA;2;   2489;    760
2108108;MA;2;   4752;   1372
3507506;SP;3;  41102;  39425
1600154;AP;1;   2516;    751
4218707;SC;4;  32466;  28506
4208302;SC;4;  15021;  13805
4212239;SC;4;   1263;    547
2505352;PB;2;   1376;    408
2904506;BA;2;   3199;    928
4310207;RS;4;  26781;  24871
1200013;AC;1;   3459;   1003
3302403;RJ;3;  66890;  52765
2109759;MA;2;   1752;   1558
4305959;RS;4;   1246;    758
4305587;RS;4;    848;    736
4117057;PR;4;   3091;    916
4320305;RS;4;   1658;   1358
3305752;RJ;3;   9658;   2954
4201604;SC;4;   1142;    820
4201505;SC;4;   2453;   1197
4206108;SC;4;   1914;    980
4320602;RS;4;   1263;    595
1502004;PA;1;   4537;   1358
2112274;MA;2;   1373;   1265
2101905;NA;2;   5637;   1703
3543907;SP;3;  59713;  58758
1507953;PA;1;  16511;   4876
3520442;SP;3;   8051;   7611
2205540;NA;2;    775;    756
3201902;ES;3;   9750;   3371
4315354;RS;4;   1269;   1204
4310009;RS;4;   6759;   5683
4303673;RS;4;   1101;    445
2109304;MA;2;   2511;    787
3136702;MG;3; 170535; 163188
4314100;RS;4;  61744;  58571
4308201;RS;4;   8808;   7313
3523404;SP;3;  31157;  27474
4210308;SC;4;   2309;    739
2209351;NA;2;   1418;   1354
2104628;MA;2;   1892;   1746
4306379;NA;4;   1091;    382
1506195;PA;1;   9328;   2812
2902005;BA;2;   3650;   1099
4312658;RS;4;   5505;   5186
2800308;SE;2; 169493; 165958
4314068;RS;4;   1616;    512
2209807;PI;2;   1339;   1265
4318614;RS;4;    699;    479
3504107;SP;3;  38353;  28908
4306452;NA;4;   1055;    731
3115458;MG;3;   1786;    548
2303931;CE;2;   3273;   1033
4122156;PR;4;   3807;   1196
4309605;RS;4;   6578;   6181
2702009;AL;2;   2983;    924
3160959;MG;3;   1561;    477
2605459;PE;2;    585;    563
1100254;RO;1;   6842;   2354
4103040;NA;4;   1917;    607
4205191;SC;4;    650;    260
4210035;SC;4;   1916;   1518
4114609;PR;4;  15752;  15252
2211704;PI;2;   1149;    360
2102150;NA;2;   1274;    403
1100130;RO;1;   9154;   2895
3515186;SP;3;  12999;  11600
2405009;RN;2;   2319;    714
2415008;RN;2;    687;    660
4307005;RS;4;  33097;  31734
4207684;SC;4;   1878;    659
4302451;RS;4;   2467;   1096
2105450;MA;2;   2138;   1981
2805109;SE;2;   2394;    740
2407252;RN;2;   1003;    982
1500206;PA;1;  11715;   3705
4107538;PR;4;   1276;   1240
2201176;NA;2;   1177;   1090
3513009;SP;3;  59038;  53713
1303809;NA;1;   7490;   2336
1600709;AP;1;   2816;    879
2202703;PI;2;   6717;   2141
4213005;SC;4;    932;    567
4323507;RS;4;    883;    526
4108650;PR;4;   2099;    656
3138674;NA;3;   1895;    597
4309407;RS;4;   7632;   6892
4316204;RS;4;   1670;   1577
4318606;RS;4;   2320;   1310
2604908;PE;2;   5086;   1596
2705309;AL;2;   1469;    464
4316972;RS;4;    761;    286
4211892;SC;4;    734;    256
2106326;NA;2;   4610;   1457
4317558;RS;4;    655;    524
4219507;SC;4;  13710;   7686
2515971;PB;2;   2031;    650
2709103;AL;2;   5316;   1697
1500800;PA;1; 125800;  45540
3200136;ES;3;   2913;   1000
3524709;SP;3;  13545;  12699
4216107;SC;4;   2964;   1958
1501303;NA;1;  24844;   8140
4313300;RS;4;   7602;   6288
2509305;PB;2;   1956;   1807
3305505;RJ;3;  23103;   9426
3303906;RJ;3;  96319;  56566
3531407;SP;3;   7257;   6571
2919207;BA;2;  49435;  47931
4110953;PR;4;   2848;   2680
4300505;RS;4;   2687;   1070
2200103;PI;2;   1533;   1441
2806800;SE;2;   3109;   3010
4310801;RS;4;   6687;   6039
4309100;RS;4;  11140;   9533
2612703;PE;2;   3781;   1208
4304622;NA;4;    613;    208
4319703;RS;4;   1200;    633
2803807;SE;2;    929;    886
3502804;SP;3;  60614;  58988
4307807;RS;4;  10475;  10014
1502764;NA;1;   2640;    863
2807600;SE;2;   6122;   1963
1500404;PA;1;  12106;   3955
2107100;MA;2;   3772;   1273
2925600;BA;2;   4041;   3865
4301503;RS;4;   2534;   2374
4214508;SC;4;   1940;    974
3527306;SP;3;  11051;   9714
2202851;PI;2;   1324;    436
4318051;NA;4;    947;    833
1200450;AC;1;   5606;   1907
2603801;PE;2;   5127;   1677
4218806;SC;4;   3753;   1938
2702553;AL;2;   4995;   1652
4217253;NA;4;   1118;    656
4106803;PR;4;   5162;   1718
4115739;PR;4;   1168;    376
4208203;SC;4;  57753;  54865
2210938;PI;2;   1812;   1730
2514453;PB;2;   1530;    503
2108405;MA;2;   3598;   1200
3524303;SP;3;  22698;  21973
4212601;SC;4;   1005;    627
2101970;NA;2;   1817;    602
5106109;MT;5;   3568;   1152
3168101;MG;3;   1288;    767
2923803;BA;2;   8046;   2602
4215406;SC;4;   1368;   1104
2702702;NA;2;   1202;    391
4213203;SC;4;   8560;   6543
2709202;AL;2;   6336;   2133
4316808;RS;4;  40540;  37041
2204907;PI;2;   2196;    729
4307906;RS;4;  20573;  17454
4321477;RS;4;   2191;    906
2927101;NA;2;   2094;   1984
3108255;MG;3;   2280;    761
2929750;BA;2;   3538;   3362
2610301;PE;2;   3120;   1033
2111250;MA;2;   1868;   1660
3525201;SP;3;   7093;   3167
4313201;RS;4;   6627;   4952
4126355;PR;4;   1477;   1162
4202859;SC;4;   1119;    680
4213708;SC;4;   4601;   2082
3554102;SP;3;  83831;  81070
1506112;NA;1;   3055;   1001
2903235;BA;2;   3977;   3733
4103024;PR;4;    836;    302
3163508;MG;3;   1862;    608
2210623;NA;2;    889;    300
3145802;MG;3;    927;    319
2110237;NA;2;   2490;   2084
4312906;RS;4;   2651;   2374
2202455;NA;2;   1144;    389
2101707;MA;2;  12133;   4094
4313409;RS;4;  80409;  61458
4312617;RS;4;    986;    415
2201556;PI;2;    936;    847
1508308;PA;1;  12358;   4296
2100907;MA;2;  10251;   3527
1301654;NA;1;   2639;    894
2906899;BA;2;   2907;    955
2408953;RN;2;   2568;   2386
3170206;MG;3; 195807; 191868
3523909;SP;3;  46503;  43312
4204202;SC;4;  58774;  47397
2605806;PE;2;   4485;   1476
3148756;MG;3;   1777;    587
2702504;AL;2;   2946;   1006
1501253;PA;1;    984;    334
3202652;ES;3;   3656;   1302
4101309;PR;4;   2423;    816
1400027;RR;1;   2108;    774
3549102;SP;3;  27581;  26142
2209971;NA;2;   1924;   1676
2702603;AL;2;   5685;   1950
2903953;BA;2;   2624;    885
4311254;RS;4;   1938;    670
4300802;RS;4;   4238;   3517
2612554;PE;2;   3604;   1253
4308458;RS;4;   1561;   1293
5204300;GO;5;   4309;   3293
2413201;RN;2;   1042;    954
3205036;ES;3;   5726;   2054
4312005;RS;4;    758;    494
3501905;SP;3;  20546;  17676
1718303;TO;1;   1835;   1644
2501401;NA;2;   2096;   1924
2104701;MA;2;   1698;   1548
4119251;PR;4;    822;    305
1503101;PA;1;   5394;   1874
4209854;SC;4;   1390;    771
1504703;PA;1;  15538;   5211
1504109;PA;1;   1986;   1782
4310330;RS;4;   6011;   5767
2203354;PI;2;   1866;    630
2918753;BA;2;   3311;   1134
3557105;SP;3;  29144;  28272
1300201;NA;1;   2885;   1036
4304507;RS;4;  17565;   6780
4305934;NA;4;    521;    344
2207934;NA;2;    655;    556
2103109;NA;2;   2597;   2316
1100122;RO;1;  35567;  16502
4320107;RS;4;   6958;   6377
2109056;MA;2;   1560;   1422
2709004;NA;2;   1760;    608
1718808;NA;1;    997;    915
4108957;PR;4;   2345;    850
3305901;RJ;3;   3283;   1220
4313508;RS;4;  13415;   9214
4321436;RS;4;   3314;   1372
4302584;RS;4;    702;    531
2913101;BA;2;   5207;   4816
1718899;TO;1;    666;    231
4204301;SC;4;  23024;  19870
2503209;PB;2;  17110;  16649
5200829;GO;5;   1091;    374
4313086;RS;4;    728;    474
2931806;BA;2;   4831;   1670
3113008;MG;3;   5857;   2019
4104808;PR;4;  91140;  81718
1717206;TO;1;    863;    295
4121604;PR;4;   2151;   1203
2206696;PI;2;   2068;    748
4320651;RS;4;    813;    430
