"";"Model";"Type";"AIC";"BIC";"R2";"R2_adjusted";"RMSE";"BF";"Performance_Score"
"1";"modelo2";"lm";33983,6640990122;34009,2369630586;0,525116006018671;0,524900834295073;11,325680953477;1,32650274031624e+282;1
"2";"modelo1";"lm";35289,2803993933;35308,4600474281;0,361506001375939;0,361361382123702;13,132547102125;1;0
